Brand,Name,Location,Rating,Number of Ratings,Price
Château Pontet-Fumet,"Château Pontet-Fumet
Saint-Émilion Grand Cru 2018","Saint-Émilion Grand Cru, France",4.2,250 ratings,29.99
Synthesis,"Synthesis
Cabernet Sauvignon 2020","Napa Valley, United States",4.2,146 ratings,29.99
Beau Vigne,"Beau Vigne
Napa Valley Cabby Cabernet Sauvignon 2020","Napa Valley, United States",4.3,98 ratings,32.99
Stefano Accordini,"Stefano Accordini
Acinatico Amarone della Valpolicella Classico 2018","Amarone della Valpolicella Classico, Italy",4.4,584 ratings,43.99
Domaine Duclaux,"Domaine Duclaux
Châteauneuf-du-Pape Rouge 2016","Châteauneuf-du-Pape, France",4.4,333 ratings,43.99
Cignomoro,"Cignomoro
6 Anime Puglia Rosso 2020","Puglia, Italy",4.4,706 ratings,24.99
Monteversa,"Monteversa
Animaversa Rosso 2016","Colli Euganei, Italy",4.2,257 ratings,24.99
La Mozza,"La Mozza
Aragone Maremma Toscana 2012","Maremma Toscana, Italy",4.1,95 ratings,24.99
Paolo Conterno,"Paolo Conterno
Ginestra Riserva Barolo 2011","Barolo, Italy",4.3,52 ratings,124.99
San Filippo,"San Filippo
Brunello di Montalcino 2016","Brunello di Montalcino, Italy",4.2,71 ratings,50
Keller Estate,"Keller Estate
Rôtie 2016","Petaluma Gap, United States",4.2,36 ratings,38.99
Domaine de la Roncière,"Domaine de la Roncière
Réserve de La Roncière Cuvée du Vigneron Côtes-du-Rhône 2019","Côtes-du-Rhône, France",4.2,63 ratings,17.99
Château la Rose Beaumont,"Château la Rose Beaumont
Blaye Côtes de Bordeaux Rouge 2019","Blaye - Côtes de Bordeaux, France",4.2,119 ratings,16.99
Château Haut Prieur,"Château Haut Prieur
Blaye - Côtes de Bordeaux 2018","Blaye - Côtes de Bordeaux, France",4.0,474 ratings,16.99
Cousiño-Macul,"Cousiño-Macul
Finis Terrae Red Blend 2014","Maipo Valley, Chile",4.2,692 ratings,19.99
Mottura,"Mottura
Stilio Primitivo di Manduria 2020","Primitivo di Manduria, Italy",4.3,1434 ratings,23.99
Château Prieurs de la Commanderie,"Château Prieurs de la Commanderie
Pomerol 2018","Pomerol, France",4.3,102 ratings,39.99
Antica,"Antica
Mountain Select Cabernet Sauvignon 2019","Napa Valley, United States",4.3,47 ratings,39.99
Château de Vimont,"Château de Vimont
Graves Rouge 2017","Graves, France",4.2,49 ratings,21.99
Ty Caton Vineyards,"Ty Caton Vineyards
Caton Vineyard Cabernet Sauvignon 2018","Moon Mountain District, United States",4.2,472 ratings,27.99
Brunelli,"Brunelli
Amarone della Valpolicella Classico 2019","Amarone della Valpolicella Classico, Italy",4.4,300 ratings,34.99
Giusti,"Giusti
Amarone della Valpolicella 2017","Amarone della Valpolicella, Italy",4.1,77 ratings,34.99
Il Molino di Grace,"Il Molino di Grace
Toscana Gratius 2010","Toscana, Italy",4.2,178 ratings,43.99
Pastor Diaz,"Pastor Diaz
Castroviejo Gran Reserva 2016","Rioja, Spain",4.3,88 ratings,24.99
Stefano Accordini,"Stefano Accordini
Paxxo 2018","Veneto, Italy",4.2,301 ratings,24.99
Casa Ermelinda Freitas,"Casa Ermelinda Freitas
Dona Ermelinda Grande Reserva 2017","Península de Setúbal, Portugal",4.4,429 ratings,29.99
Roquette & Cazes,"Roquette & Cazes
Douro 2018","Douro, Portugal",4.3,1267 ratings,29.99
Nativ,"Nativ
Eremo San Quirico Gold 2018","Irpinia Campi Taurasini, Italy",4.3,370 ratings,26.99
Cellier des Princes,"Cellier des Princes
Le Blason du Prince Châteauneuf-du-Pape 2021","Châteauneuf-du-Pape, France",4.3,138 ratings,32.99
Volver,"Volver
Cuvée Old Vines Unfiltered 2018","Jumilla, Spain",4.2,64 ratings,29.99
Brown Estate,"Brown Estate
Chaos Theory 2021","Napa Valley, United States",4.1,42 ratings,29.99
Mullan Road Cellars,"Mullan Road Cellars
Royal Slope Cabernet Sauvignon 2017","Columbia Valley, United States",3.9,36 ratings,29.99
San Filippo,"San Filippo
Le Lucére Brunello di Montalcino 2017","Brunello di Montalcino, Italy",4.3,74 ratings,59.99
Terrazze dell Etna,"Terrazze dell Etna
Cirneco 2012","Etna, Italy",4.1,129 ratings,29.99
Finca Los Principes,"Finca Los Principes
Rioja Gran Reserva 2013","Rioja, Spain",4.3,241 ratings,21.99
Viticcio,"Viticcio
Monile Toscana 2016","Toscana, Italy",4.4,81 ratings,39.99
Catena Alta,"Catena Alta
Malbec 2018","Mendoza, Argentina",4.3,2231 ratings,39.99
Driscoll Wine Co.,"Driscoll Wine Co.
Tilth Cabernet Sauvignon 2019","Rutherford, United States",4.3,28 ratings,36.99
Jean-Louis Trocard,"Jean-Louis Trocard
Château Franc La Rose Saint-Émilion Grand Cru 2017","Saint-Émilion Grand Cru, France",4.2,127 ratings,24.99
Château l'Art de Maison Neuve,"Château l'Art de Maison Neuve
Montagne Saint-Émilion 2018","Montagne-Saint-Émilion, France",4.2,81 ratings,24.99
Xavier Vignon,"Xavier Vignon
Arcane l'Étoile N.V.","Beaumes-de-Venise, France",4.1,653 ratings,24.99
Emblem,"Emblem
Napa Valley Cabernet Sauvignon 2017","Napa Valley, United States",4.1,405 ratings,24.99
Château Palais Cardinal,"Château Palais Cardinal
La Fuie Saint-Émilion Grand Cru 2018","Saint-Émilion Grand Cru, France",4.2,109 ratings,29.99
Cartuxa,"Cartuxa
Pêra-Manca Tinto 2015","Alentejo, Portugal",4.7,963 ratings,250
Château Lys de Maisonneuve,"Château Lys de Maisonneuve
Montagne-Saint-Émilion 2018","Montagne-Saint-Émilion, France",4.2,212 ratings,21.99
Cielo e Terra,"Cielo e Terra
Appassionante 2019","Veneto, Italy",4.2,3252 ratings,18.99
Quilt,"Quilt
Cabernet Sauvignon 2019","Napa Valley, United States",4.2,555 ratings,34.98
Conundrum,"Conundrum
Red Blend 2020","California, United States",4.0,2363 ratings,15.99
Casa Vinicola Bennati,"Casa Vinicola Bennati
Amarone della Valpolicella 2019","Amarone della Valpolicella, Italy",4.4,140 ratings,31.99
Pastor Diaz,"Pastor Diaz
Castroviejo Reserva 2016","Rioja, Spain",4.3,188 ratings,17.99
Penfolds,"Penfolds
Bin 600 California Collection Cabernet - Shiraz 2019","California, United States",4.4,114 ratings,44.99
Nittardi,"Nittardi
Belcanto Chianti Classico 2018","Chianti Classico, Italy",3.8,194 ratings,14.99
