Brand,Name,Location,Rating,Number of Ratings,Price
Trefethen,"Trefethen
Late Harvest Riesling 2018","Oak Knoll District, United States",4.6,26 ratings,Available online from $47.25
Royal Tokaji,"Royal Tokaji
Betsek 6 Puttonyos Aszú 2016","Tokaj, Hungary",4.6,26 ratings,Available online from $140
Château Doisy-Daëne,"Château Doisy-Daëne
Barsac (Grand Cru Classé) 1953","Barsac, France",4.6,25 ratings,Available online from $316.67
Domaine Huet,"Domaine Huet
Cuvée Constance 2015","Vouvray, France",4.6,25 ratings,Available online from $144.95
Donnafugata,"Donnafugata
Ben Ryé Passito di Pantelleria 2015","Passito di Pantelleria, Italy",4.5,2308 ratings,Available online from $31.99
Donnafugata,"Donnafugata
Ben Ryé Passito di Pantelleria 2017","Passito di Pantelleria, Italy",4.5,2211 ratings,Available online from $54.99
Donnafugata,"Donnafugata
Ben Ryé Passito di Pantelleria 2014","Passito di Pantelleria, Italy",4.5,1945 ratings,Available online from $37.95
Donnafugata,"Donnafugata
Ben Ryé Passito di Pantelleria 2018","Passito di Pantelleria, Italy",4.5,1148 ratings,Available online from $36.98
Château Suduiraut,"Château Suduiraut
Sauternes (Premier Grand Cru Classé) 2001","Sauternes, France",4.5,700 ratings,Available online from $144
Château Climens,"Château Climens
Barsac (Premier Grand Cru Classé) 2005","Barsac, France",4.5,601 ratings,Available online from $89.10
Oremus,"Oremus
Tokaji Aszú 5 Puttonyos 2013","Tokaj, Hungary",4.5,500 ratings,Available online from $99.99
Château Suduiraut,"Château Suduiraut
Sauternes (Premier Grand Cru Classé) 1990","Sauternes, France",4.5,469 ratings,Available online from $108
Château Rieussec,"Château Rieussec
Sauternes (Premier Grand Cru Classé) 1990","Sauternes, France",4.5,455 ratings,Available online from $89.99
Royal Tokaji,"Royal Tokaji
Aszú 6 puttonyos 2016","Tokaj, Hungary",4.5,416 ratings,Available online from $89.98
Château Climens,"Château Climens
Barsac (Premier Grand Cru Classé) 2009","Barsac, France",4.5,391 ratings,Available online from $84.99
Château Rieussec,"Château Rieussec
Sauternes (Premier Grand Cru Classé) 1988","Sauternes, France",4.5,364 ratings,Available online from $167
Dolce,"Dolce
Dolce (Late Harvest) 2012","Napa Valley, United States",4.5,305 ratings,Available online from $85.99
Château Climens,"Château Climens
Barsac (Premier Grand Cru Classé) 2014","Barsac, France",4.5,295 ratings,Available online from $71
Château Rieussec,"Château Rieussec
Sauternes (Premier Grand Cru Classé) 1983","Sauternes, France",4.5,253 ratings,Available online from $146
Château Climens,"Château Climens
Barsac (Premier Grand Cru Classé) 2015","Barsac, France",4.5,232 ratings,Available online from $45
Château Climens,"Château Climens
Barsac (Premier Grand Cru Classé) 2010","Barsac, France",4.5,231 ratings,Available online from $112
Château Suduiraut,"Château Suduiraut
Sauternes (Premier Grand Cru Classé) 1982","Sauternes, France",4.5,219 ratings,Available online from $179
Château Rieussec,"Château Rieussec
Sauternes (Premier Grand Cru Classé) 1986","Sauternes, France",4.5,219 ratings,Available online from $175
Château Guiraud,"Château Guiraud
Sauternes (Premier Grand Cru Classé) 1990","Sauternes, France",4.5,209 ratings,Available online from $90.00
Didier Dagueneau (Louis-Benjamin Dagueneau),"Didier Dagueneau (Louis-Benjamin Dagueneau)
Les Jardins de Babylone Moelleux 2011","Jurançon, France",4.5,203 ratings,Available online from $89
Château Climens,"Château Climens
Barsac (Premier Grand Cru Classé) 1988","Barsac, France",4.5,196 ratings,Available online from $147
Château de Fargues,"Château de Fargues
Sauternes (Lur Saluces) 2007","Sauternes, France",4.5,194 ratings,Available online from $133.33
Château Lafaurie-Peyraguey,"Château Lafaurie-Peyraguey
Sauternes (Premier Grand Cru Classé) 1990","Sauternes, France",4.5,192 ratings,Available online from $83.57
Dolce,"Dolce
Dolce (Late Harvest) 2008","Napa Valley, United States",4.5,179 ratings,Available online from $325
Château Pajzos,"Château Pajzos
Tokaji 5 Puttonyos Aszú 2013","Tokaj, Hungary",4.5,163 ratings,Available online from $37.99
Didier Dagueneau (Louis-Benjamin Dagueneau),"Didier Dagueneau (Louis-Benjamin Dagueneau)
Les Jardins de Babylone Moelleux 2009","Jurançon, France",4.5,155 ratings,Available online from $199.99
Dolce,"Dolce
Dolce (Late Harvest) 2014","Napa Valley, United States",4.5,153 ratings,Available online from $84.99
Domaine des Baumard,"Domaine des Baumard
Quarts de Chaume 2005","Quarts de Chaume, France",4.5,135 ratings,Available online from $44.99
Château La Tour Blanche,"Château La Tour Blanche
Sauternes (Premier Grand Cru Classé) 2004","Sauternes, France",4.5,122 ratings,Available online from $59.99
Poli Distillerie,"Poli Distillerie
Grappa di Bolgheri Sassicaia N.V.","Bolgheri Sassicaia, Italy",4.5,121 ratings,Available online from $115
Tokaj Classic,"Tokaj Classic
Tokaji Aszú 6 Puttonyos 1999","Tokaj, Hungary",4.5,113 ratings,Available online from $62.99
Château de Fargues,"Château de Fargues
Sauternes (Lur Saluces) 2009","Sauternes, France",4.5,109 ratings,Available online from $115.71
Château Filhot,"Château Filhot
Sauternes (Grand Cru Classé) 1988","Sauternes, France",4.5,104 ratings,Available online from $51.43
Château Filhot,"Château Filhot
Sauternes (Grand Cru Classé) 1990","Sauternes, France",4.5,104 ratings,Available online from $72
Didier Dagueneau (Louis-Benjamin Dagueneau),"Didier Dagueneau (Louis-Benjamin Dagueneau)
Les Jardins de Babylone Moelleux 2014","Jurançon, France",4.5,103 ratings,Available online from $99
