Brand,Name,Location,Rating,Number of Ratings,Price
Cape Point Vineyards,"Cape Point Vineyards
Isliedh 2020","Cape Point, South Africa",4.3,73 ratings,42.74
Pascal Jolivet,"Pascal Jolivet
Sancerre Le Chene Marchand 2020","Sancerre, France",4.3,70 ratings,59.99
Marc Colin,"Marc Colin
Chassagne-Montrachet Margot 2018","Chassagne-Montrachet, France",4.3,70 ratings,84.94
Vincent et Francois Jouard,"Vincent et Francois Jouard
Vieilles Vignes Chassagne-Montrachet 2020","Chassagne-Montrachet, France",4.3,66 ratings,89.99
Francois Carillon,"Francois Carillon
Puligny-Montrachet 2020","Puligny-Montrachet, France",4.3,62 ratings,109.99
Domaine de Montille,"Domaine de Montille
Meursault Saint-Christophe 2018","Meursault, France",4.3,60 ratings,84.94
Ordóñez,"Ordóñez
Nisia Las Suertes Verdejo Old Vines 2018","Rueda, Spain",4.3,58 ratings,35.99
Favia,"Favia
Carbone Chardonnay 2020","Coombsville, United States",4.3,54 ratings,49.94
Joseph Drouhin,"Joseph Drouhin
Puligny-Montrachet 2020","Puligny-Montrachet, France",4.3,53 ratings,99.99
Stonestreet,"Stonestreet
Estate Vineyards Chardonnay 2018","Alexander Valley, United States",4.3,53 ratings,42.99
Maison de Montille,"Maison de Montille
Montagny 1er Cru 'Les Coères' 2018","Montagny 1er Cru 'Les Coeres', France",4.3,52 ratings,39.94
Domaine Alain Chavy,"Domaine Alain Chavy
Saint-Aubin 1er Cru 'En Remilly' 2018","Saint-Aubin 1er Cru 'En Remilly', France",4.3,52 ratings,69.94
Merryvale,"Merryvale
Silhouette Chardonnay 2018","Napa Valley, United States",4.3,52 ratings,64.99
Joh. Jos. Prüm,"Joh. Jos. Prüm
Graacher Himmelreich Riesling Auslese 2020","Graach, Germany",4.3,52 ratings,59.94
Lucien Crochet,"Lucien Crochet
La Croix du Roy Sancerre Blanc 2020","Sancerre, France",4.3,52 ratings,49.99
Palmaz,"Palmaz
Louise Riesling 2018","Napa Valley, United States",4.3,52 ratings,70
Barker's Marque Wines,"Barker's Marque Wines
Three Brooms Single Vineyard Sauvignon Blanc 2022","Marlborough, New Zealand",4.3,51 ratings,21.99
Lloyd Cellars,"Lloyd Cellars
Chardonnay 2021","Los Carneros, United States",4.3,51 ratings,39.95
Calera,"Calera
Chardonnay Mt. Harlan 2018","Mount Harlan, United States",4.3,49 ratings,54.94
Domaine Génot-Boulanger,"Domaine Génot-Boulanger
En Lulunne Beaune 2017","Beaune, France",4.3,49 ratings,52.99
Domaine Borgeot,"Domaine Borgeot
Puligny-Montrachet 'Les Meix' 2020","Puligny-Montrachet, France",4.3,48 ratings,89.99
J.M. Boillot,"J.M. Boillot
Puligny-Montrachet Premier Cru Les Referts 2013","Puligny-Montrachet Premier Cru, France",4.3,48 ratings,79.94
Ballot Millot,"Ballot Millot
Meursault 'Les Criots' 2018","Meursault, France",4.3,47 ratings,68.94
Nickel & Nickel,"Nickel & Nickel
Truchard Vineyard Chardonnay 2021","Los Carneros, United States",4.3,47 ratings,48.10
Weingut Bründlmayer,"Weingut Bründlmayer
Zöbinger Heiligenstein Alte Reben Riesling 2012","Kamptal, Austria",4.3,46 ratings,84.95
Ballot Millot,"Ballot Millot
Meursault 'Les Narvaux' 2018","Meursault, France",4.3,46 ratings,79.94
Vincent & Sophie Morey,"Vincent & Sophie Morey
Chassagne-Montrachet 1er Cru 'Les Embrazées' 2020","Chassagne-Montrachet, France",4.3,45 ratings,99.99
Krupp Brothers,"Krupp Brothers
Chardonnay (Stagecoach Vineyard) 2018","Napa Valley, United States",4.3,44 ratings,54.94
Liquid Farm,"Liquid Farm
Chardonnay Four 2013","Sta. Rita Hills, United States",4.3,42 ratings,79.99
Jean Yves Peron,"Jean Yves Peron
I Vicini Favorita 2019","Vin de France, France",4.3,41 ratings,45
Far Mountain,"Far Mountain
Myrna Chardonnay 2019","Sonoma Valley, United States",4.3,40 ratings,54.99
Francois Carillon,"Francois Carillon
Chassagne-Montrachet 1er Cru 'Clos Saint Jean' 2013","Chassagne-Montrachet 1er Cru 'Clos Saint Jean', France",4.3,39 ratings,84.94
Louis Michel & Fils,"Louis Michel & Fils
Chablis Grand Cru 'Grenouilles' 2019","Chablis Grand Cru 'Grenouilles', France",4.3,38 ratings,90.95
Darioush,"Darioush
Chardonnay (Signature) 2020","Napa Valley, United States",4.3,37 ratings,59.99
Buisson-Charles,"Buisson-Charles
Meursault 'Les Tessons' 2018","Meursault, France",4.3,36 ratings,84.94
Domaine Borgeot,"Domaine Borgeot
Puligny-Montrachet 'Les Grands Champs' 2020","Puligny-Montrachet, France",4.3,35 ratings,99.99
Chappellet,"Chappellet
Grower Collection El Novillero Vineyard Chardonnay 2019","Los Carneros, United States",4.3,35 ratings,49.99
Muga,"Muga
Flor de Muga Blanco 2019","Rioja, Spain",4.3,35 ratings,49.99
Ramey,"Ramey
Rochioli Vineyard Chardonnay 2019","Russian River Valley, United States",4.3,34 ratings,74.99
Ramey,"Ramey
Chardonnay Ritchie Vineyard 2019","Russian River Valley, United States",4.3,33 ratings,79.99
Maximin Grünhaus,"Maximin Grünhaus
Maximin Grünhäuser Abtsberg Riesling Spätlese 2020","Mosel, Germany",4.3,33 ratings,44.99
Seguin-Manuel,"Seguin-Manuel
Les Clous Meursault 2017","Meursault, France",4.3,32 ratings,71.99
Gambal Work,"Gambal Work
Francesca Vineyard Chardonnay 2016","Sta. Rita Hills, United States",4.3,32 ratings,64.99
Gerard Fiou,"Gerard Fiou
Le Grand Roc Sancerre 2018","Upper Loire, France",4.3,31 ratings,51.99
Hudson,"Hudson
Chardonnay 2020","Los Carneros, United States",4.3,30 ratings,74.95
Failla,"Failla
Platt Vineyard Chardonnay 2019","Sonoma Coast, United States",4.3,30 ratings,54.99
Jean-Marc Brocard,"Jean-Marc Brocard
Chablis Grand Cru 'Les Clos' 2020","Chablis Grand Cru 'Les Clos', France",4.3,28 ratings,106.99
P. Licht Bergweiler Erben,"P. Licht Bergweiler Erben
Brauneberger Mandelgraben Riesling Kabinett 2003","Brauneberg, Germany",4.3,28 ratings,17.94
Tormaresca,"Tormaresca
Fiano di Bocca di Lupo 2019","Puglia, Italy",4.3,27 ratings,49
Fontaine-Gagnard,"Fontaine-Gagnard
Chassagne-Montrachet 1er Cru 'Clos Saint Jean' Blanc 2019","Chassagne-Montrachet 1er Cru 'Clos Saint Jean', France",4.3,26 ratings,99.94
Livio Felluga,"Livio Felluga
Picolit 2015","Colli Orientali del Friuli, Italy",4.3,26 ratings,99.97
Henri Prudhon & Fils,"Henri Prudhon & Fils
Saint-Aubin 1er Cru 'Sur Gamay' 2019","Saint-Aubin 1er Cru 'Sur Gamay', France",4.3,25 ratings,49.94
Louis Latour,"Louis Latour
Meursault 1er Cru 'Les Gouttes d'Or' 2017","Meursault 1er Cru 'Les Gouttes d'Or', France",4.3,25 ratings,89.94
Domaine du Collier,"Domaine du Collier
Saumur Blanc 2018","Saumur, France",4.3,25 ratings,76.99
Sonoma-Cutrer,"Sonoma-Cutrer
Les Pierres Chardonnay 2017","Sonoma Coast, United States",4.3,25 ratings,42.99
Cloudy Bay,"Cloudy Bay
Sauvignon Blanc 2021","Marlborough, New Zealand",4.2,4943 ratings,32.99
Brancott Estate,"Brancott Estate
Sauvignon Blanc 2021","Marlborough, New Zealand",4.2,4550 ratings,12.79
